Year,School Name,K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
2002,Rollo Bay Consolidated ,,36,26,24,39,,,,,,,,
2002,Sherwood Elementary ,,95,80,87,90,104,92,,,,,,
2002,Somerset Elementary ,,27,20,31,17,27,22,29,24,,,,
2002,Souris Consolidated ,,26,30,29,23,41,23,39,31,,,,
2002,Souris Regional High ,,,,,,,,,,89,85,83,91
2002,Southern Kings Consolidated ,,38,38,38,48,34,39,46,44,,,,
2002,Spring Park Elementary ,,79,89,70,82,73,78,,,,,,
2002,St. Jean Elementary ,,27,32,31,39,40,36,,,,,,
2002,St. Louis Elementary ,,25,28,27,28,30,27,,,  ,,,
2002,St. Peter’s Consolidated ,,10,13,14,12,15,11,9,14,,,,
2002,St. Teresa’s Consolidated ,,9,5,10,7,10,6,8,11,,,,
2002,Stonepark Intermediate,,,,,,,,284,244,286,,,
2002,Summerside Intermediate,,,,,,,,203,220,199,,,
2002,Three Oaks Senior High,,,,,,,,,,,315,333,276
2002,Tignish Elementary ,,37,44,37,52,56,47,,,,,,
2002,Tracadie Cross Consolidated ,,17,19,15,18,18,11,9,20,,,,
2002,Vernon River Consolidated ,,28,21,24,25,39,22,27,37,22,,,
2002,West Kent Elementary ,,30,11,18,15,24,23,,,,,,
2002,West Royalty Elementary ,,48,75,76,74,76,87,,,,,,
2002,Westisle Composite High ,,,,,,,,,,,263,189,290
2002,Westwood Primary ,,137,136,143,,,,,,,,,
2002,École Évangéline,,23,27,29,13,25,34,27,40,41,32,36,38
2002,École François-Buote,,18,17,13,14,13,9,17,18,21,16,10,5
2002,École St-Augustin,,5,4,7,1,,,,,,,,
2002,École-sur-Mer,,13,8,7,4,3,3,,,,,,
2002,Centre scolaire cummunautaire française de Prince-Ouest,,8,7,7,0,4,6,3,,,,,
2002,Immanuel Christian ,,3,4,3,3,5,4,5,3,4,,,
2002,Full Circle Co-operative  ,,0,0,0,0,2,1,1,1,5,,,
2002,Fair Isle Adventist,,1,0,1,0,1,1,,,,,,
2002,Grace Christian,,13,11,15,11,17,10,12,14,14,10,8,8
2003,Alberton Elementary ,,43,38,41,28,32,43,,,,,,
2003,Alternative Education Class,,,,,,,,,2,16,2,,
2003,Amherst Cove Consolidated,,18,25,25,24,27,21,26,24,,,,
2003,Athena Consolidated,,33,34,53,44,42,56,53,48,58,,,
2003,Belfast Consolidated ,,16,21,22,28,34,36,32,34,28,,,
2003,Birchwood Intermediate,,,,,,,,135,162,163,,,
2003,Bloomfield Elementary ,,29,42,32,33,41,29,,,,,,
2003,Bluefield High,,,,,,,,,,,265,284,282
2003,Cardigan Consolidated,,18,21,14,26,25,21,26,40,,,,
2003,Central Queens Elementary,,33,31,41,38,43,44,,,,,,
2003,Charlottetown Rural High,,,,,,,,,,,362,320,353
2003,Colonel Gray High,,,,,,,,,,,277,323,318
2003,Donagh Regional ,,16,20,18,22,19,18,14,18,16,,,
2003,Dundas Consolidated ,,9,7,12,10,11,6,10,9,,,,
2003,East Wiltshire Intermediate,,,,,,,,195,218,196,,,
2003,Eastern Kings Consolidated ,,5,17,5,12,7,10,11,10,,,,
2003,Eliot River Elementary,,,,,142,152,140,,,,,,
2003,Ellerslie Elementary ,,22,23,34,36,38,26,,,,,,
2003,Elm Street Elementary,,54,70,70,86,89,98,,,,,,
2003,Englewood ,,26,19,31,20,27,29,35,25,23,,,
2003,Fortune Consolidated ,,14,23,27,27,,,,,,,,
2003,Georgetown Elementary ,,10,14,10,9,15,8,16,14,,,,
2003,Glen Stewart Elementary,,115,99,119,93,109,124,,,,,,
2003,Grand Tracadie Elementary ,,5,7,9,10,9,8,,,,,,
2003,Greenfield Elementary,,90,91,83,48,45,56,,,,,,
2003,Gulf Shore Consolidated ,,28,32,25,28,40,43,37,43,47,,,
2003,Hernewood Intermediate ,,,,,,,,135,145,131,,,
2003,Kensington Intermediate/Senior High ,,,,,,,,68,92,86,70,79,89
2003,Kinkora Regional High,,,,,,,,,,44,47,47,53
2003,L. M. Montgomery,,45,48,63,58,72,71,,,,,,
2003,M.E. Callaghan Intermediate ,,,,,,,,106,106,113,,,
2003,Miscouche Consolidated,,25,35,25,28,28,29,36,26,25,,,
2003,Montague Consolidated ,,82,62,77,70,67,68,,,,,,
2003,Montague Intermediate ,,,,,,,,76,81,158,,,
2003,Montague Regional High ,,,,,,,,,,,224,250,266
2003,Morell Consolidated ,,19,24,20,25,39,26,37,23,,,,
2003,Morell Regional High ,,,,,,,,,,99,83,66,97
2003,Mt. Stewart Consolidated ,,10,8,12,13,11,11,10,15,,,,
2003,O'Leary Elementary ,,38,32,36,31,35,42,,,,,,
2003,Parkdale Elementary ,,17,21,23,19,22,32,,,,,,
2003,Parkside Elementary,,33,42,36,27,54,44,,,,,,
2003,Prince Street Elementary ,,49,47,57,60,59,42,,,,,,
2003,Queen Charlotte Intermediate,,,,,,,,192,181,207,,,
2003,Queen Elizabeth Elementary,,64,70,66,55,85,65,,,,,,
2003,Rollo Bay Consolidated ,,,,,,29,35,25,23,,,,
2003,Sherwood Elementary ,,84,92,86,87,91,109,,,,,,
2003,Somerset Elementary ,,14,27,23,29,21,26,22,32,,,,
2003,Souris Consolidated ,,15,27,28,28,21,40,27,38,,,,
2003,Souris Regional High ,,,,,,,,,,82,90,80,84
2003,Southern Kings Consolidated ,,33,40,38,37,50,33,37,46,,,,
2003,Spring Park Elementary ,,81,69,79,69,78,70,,,,,,
2003,St. Jean Elementary ,,25,26,28,31,32,41,,,,,,
2003,St. Louis Elementary ,,22,27,24,27,29,31,,,,,,
2003,St. Peter's Consolidated ,,10,11,12,15,12,15,11,10,,,,
2003,St. Teresa's Consolidated ,,9,9,5,10,6,11,6,7,,,,
2003,Stonepark Intermediate,,,,,,,,282,285,252,,,
2003,Summerside Intermediate,,,,,,,,217,205,222,,,
2003,Three Oaks Senior High,,,,,,,,,,,300,315,302
