School,Year,Size
Somerset Elementary,2004,180
Somerset Elementary,2005,187
Somerset Elementary,2006,171
Somerset Elementary,2007,166
Somerset Elementary,2008,156
Somerset Elementary,2009,149
Somerset Elementary,2010,161
Somerset Elementary,2011,176
Somerset Elementary,2012,181
Somerset Elementary,2013,169
Somerset Elementary,2014,168
Somerset Elementary,2015,162
Souris Consolidated,1999,246
Souris Consolidated,2000,234
Souris Consolidated,2001,245
Souris Consolidated,2002,242
Souris Consolidated,2003,224
Souris Consolidated,2004,208
Souris Consolidated,2005,211
Souris Consolidated,2006,191
Souris Consolidated,2007,189
Souris Consolidated,2008,252
Souris Consolidated,2009,312
Souris Consolidated,2010,372
Souris Consolidated,2011,354
Souris Consolidated,2012,340
Souris Consolidated,2013,344
Souris Consolidated,2014,564
Souris Consolidated,2015,0
Souris Regional High,1999,367
Souris Regional High,2000,350
Souris Regional High,2001,344
Souris Regional High,2002,348
Souris Regional High,2003,336
Souris Regional High,2004,326
Souris Regional High,2005,298
Souris Regional High,2006,296
Souris Regional High,2007,271
Souris Regional High,2008,279
Souris Regional High,2009,348
Souris Regional High,2010,307
Souris Regional High,2011,294
Souris Regional High,2012,272
Souris Regional High,2013,243
Souris Regional High,2014,0
Souris Regional High,2015,551
Southern Kings Consolidated,1999,375
Southern Kings Consolidated,2000,359
Southern Kings Consolidated,2001,332
Southern Kings Consolidated,2002,325
Southern Kings Consolidated,2003,314
Southern Kings Consolidated,2004,308
Southern Kings Consolidated,2005,294
Southern Kings Consolidated,2006,295
Southern Kings Consolidated,2007,272
Southern Kings Consolidated,2008,262
Southern Kings Consolidated,2009,253
Southern Kings Consolidated,2010,254
Southern Kings Consolidated,2011,237
Southern Kings Consolidated,2012,220
Southern Kings Consolidated,2013,196
Southern Kings Consolidated,2014,174
Southern Kings Consolidated,2015,160
Spring Park Elementary,1999,516
Spring Park Elementary,2000,491
Spring Park Elementary,2001,487
Spring Park Elementary,2002,471
Spring Park Elementary,2003,446
Spring Park Elementary,2004,409
Spring Park Elementary,2005,385
Spring Park Elementary,2006,361
Spring Park Elementary,2007,333
Spring Park Elementary,2008,318
Spring Park Elementary,2009,319
Spring Park Elementary,2010,397
Spring Park Elementary,2011,376
Spring Park Elementary,2012,380
Spring Park Elementary,2013,440
Spring Park Elementary,2014,520
Spring Park Elementary,2015,515
St. Jean Elementary,1999,222
St. Jean Elementary,2000,230
St. Jean Elementary,2001,209
St. Jean Elementary,2002,205
St. Jean Elementary,2003,183
St. Jean Elementary,2004,169
St. Jean Elementary,2005,155
St. Jean Elementary,2006,133
St. Jean Elementary,2007,125
St. Jean Elementary,2008,108
St. Jean Elementary,2009,94
St. Jean Elementary,2010,126
St. Jean Elementary,2011,143
St. Jean Elementary,2012,118
St. Jean Elementary,2013,101
St. Jean Elementary,2014,109
St. Jean Elementary,2015,115
St. Louis Elementary,1999,196
St. Louis Elementary,2000,180
St. Louis Elementary,2001,169
St. Louis Elementary,2002,165
St. Louis Elementary,2003,160
St. Louis Elementary,2004,150
St. Louis Elementary,2005,136
St. Louis Elementary,2006,131
St. Louis Elementary,2007,129
St. Louis Elementary,2008,130
St. Louis Elementary,2009,134
St. Louis Elementary,2010,149
St. Louis Elementary,2011,143
St. Louis Elementary,2012,140
St. Louis Elementary,2013,145
St. Louis Elementary,2014,138
St. Louis Elementary,2015,129
St. Peter's Consolidated,1999,113
St. Peter's Consolidated,2000,111
St. Peter's Consolidated,2001,109
St. Peter's Consolidated,2002,98
St. Peter's Consolidated,2003,96
St. Peter's Consolidated,2004,91
St. Peter's Consolidated,2005,86
